Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015September,8
Cumulative number of confirmed Ebola deaths,Senegal,2015September,0
Cumulative number of probable Ebola deaths,Senegal,2015September,0
Cumulative number of suspected Ebola deaths,Senegal,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015September,0
Cumulative number of confirmed Ebola deaths,Spain,2015September,0
Cumulative number of probable Ebola deaths,Spain,2015September,0
Cumulative number of suspected Ebola deaths,Spain,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015September,0
Cumulative number of confirmed Ebola deaths,United States of America,2015September,1
Cumulative number of probable Ebola deaths,United States of America,2015September,0
Cumulative number of suspected Ebola deaths,United States of America,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015September,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015September,10666
Cumulative number of confirmed Ebola cases,Liberia,2015September,3151
Cumulative number of probable Ebola cases,Liberia,2015September,1879
Cumulative number of suspected Ebola cases,Liberia,2015September,5636
Cumulative number of confirmed Ebola cases,Sierra Leone,2015September,8704
Cumulative number of probable Ebola cases,Sierra Leone,2015September,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015September,4788
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015September,3955
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015September,2530
Cumulative number of probable Ebola deaths,Guinea,2015September,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015September,13779
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015September,3589
Cumulative number of suspected Ebola deaths,Sierra Leone,2015September,158
Cumulative number of confirmed Ebola deaths,Guinea,2015September,2078
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015September,4806
Cumulative number of probable Ebola deaths,Sierra Leone,2015September,208
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015September,3794
Cumulative number of confirmed Ebola cases,Guinea,2015September,3338
Cumulative number of probable Ebola cases,Guinea,2015September,452
Cumulative number of suspected Ebola cases,Guinea,2015September,4
Cumulative number of confirmed Ebola deaths,Liberia 2,2015September,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015September,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015September,6
Cumulative number of probable Ebola cases,Liberia 2,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015September,2
Cumulative number of confirmed Ebola cases,Italy,2015September,1
Cumulative number of probable Ebola cases,Italy,2015September,0
Cumulative number of suspected Ebola cases,Italy,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015September,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015September,1
Cumulative number of probable Ebola cases,United Kingdom,2015September,0
Cumulative number of suspected Ebola cases,United Kingdom,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015September,1
Cumulative number of confirmed Ebola cases,Mali,2015September,7
Cumulative number of probable Ebola cases,Mali,2015September,1
Cumulative number of suspected Ebola cases,Mali,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015September,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015September,8
Cumulative number of confirmed Ebola cases,Nigeria,2015September,19
Cumulative number of probable Ebola cases,Nigeria,2015September,1
Cumulative number of suspected Ebola cases,Nigeria,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015September,20
Cumulative number of confirmed Ebola cases,Senegal,2015September,1
Cumulative number of probable Ebola cases,Senegal,2015September,0
Cumulative number of suspected Ebola cases,Senegal,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015September,1
Cumulative number of confirmed Ebola cases,Spain,2015September,1
Cumulative number of probable Ebola cases,Spain,2015September,0
Cumulative number of suspected Ebola cases,Spain,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015September,1
Cumulative number of confirmed Ebola cases,United States of America,2015September,4
Cumulative number of probable Ebola cases,United States of America,2015September,0
Cumulative number of suspected Ebola cases,United States of America,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015September,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015September,7
Cumulative number of probable Ebola deaths,Nigeria,2015September,1
Cumulative number of suspected Ebola deaths,Nigeria,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015September,8
Cumulative number of confirmed Ebola deaths,Senegal,2015September,0
Cumulative number of probable Ebola deaths,Senegal,2015September,0
Cumulative number of suspected Ebola deaths,Senegal,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015September,0
Cumulative number of confirmed Ebola deaths,Spain,2015September,0
Cumulative number of probable Ebola deaths,Spain,2015September,0
Cumulative number of suspected Ebola deaths,Spain,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015September,0
Cumulative number of confirmed Ebola deaths,United States of America,2015September,1
Cumulative number of probable Ebola deaths,United States of America,2015September,0
Cumulative number of suspected Ebola deaths,United States of America,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015September,1
Cumulative number of probable Ebola deaths,Guinea,2015September,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015September,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015September,13785
Cumulative number of suspected Ebola deaths,Sierra Leone,2015September,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015September,3794
Cumulative number of confirmed Ebola cases,Liberia,2015September,3151
Cumulative number of confirmed Ebola cases,Sierra Leone,2015September,8704
Cumulative number of probable Ebola cases,Liberia,2015September,1879
Cumulative number of suspected Ebola cases,Liberia,2015September,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015September,4806
Cumulative number of probable Ebola cases,Sierra Leone,2015September,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015September,4794
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015September,3955
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015September,3589
Cumulative number of probable Ebola deaths,Sierra Leone,2015September,208
Cumulative number of confirmed Ebola cases,Guinea,2015September,3339
Cumulative number of probable Ebola cases,Guinea,2015September,452
Cumulative number of suspected Ebola cases,Guinea,2015September,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015September,2531
Cumulative number of confirmed Ebola deaths,Guinea,2015September,2079
Cumulative number of confirmed Ebola cases,Liberia 2,2015September,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015September,6
Cumulative number of probable Ebola cases,Liberia 2,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015September,2
Cumulative number of confirmed Ebola deaths,Liberia 2,2015September,2
Cumulative number of confirmed Ebola cases,Italy,2015September,1
Cumulative number of probable Ebola cases,Italy,2015September,0
Cumulative number of suspected Ebola cases,Italy,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015September,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015September,1
Cumulative number of probable Ebola cases,United Kingdom,2015September,0
Cumulative number of suspected Ebola cases,United Kingdom,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015September,1
Cumulative number of confirmed Ebola cases,Mali,2015September,7
Cumulative number of probable Ebola cases,Mali,2015September,1
Cumulative number of suspected Ebola cases,Mali,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015September,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015September,8
Cumulative number of confirmed Ebola cases,Nigeria,2015September,19
Cumulative number of probable Ebola cases,Nigeria,2015September,1
Cumulative number of suspected Ebola cases,Nigeria,2015September,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015September,20
